Artist,Release Title,Year,ID,Format,Resource URL,Stats,Thumb
Double Exposure / Salsoul Orchestra*,My Love Is Free / It Don't Have To Be Funky (To Be A Groove),1976,7326,"1, 2, """,https://api.discogs.com/releases/7326,"{'community': {'in_wantlist': 431, 'in_collection': 611}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/1RxJt_r3x4ipkNASUg3dw8x65wcMJONJ9tOR4at47eA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczMjYt/MTM1NTYwODE4MC0y/Njc4LmpwZWc.jpeg
Moment Of Truth,So Much For Love,1976,7327,"1, 2, """,https://api.discogs.com/releases/7327,"{'community': {'in_wantlist': 318, 'in_collection': 432}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/05Gw7vqp1I66Idv2cOWqCN2SwHAwjK_kV-AoezbIIzk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczMjct/MTE3NTcyODU0Mi5q/cGVn.jpeg
Eddie Holman,This Will Be A Night To Remember,1977,7328,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/7328,"{'community': {'in_wantlist': 90, 'in_collection': 304}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/M3HhPx1FK45YR7rR1tk1-AHv-Vsdv07FAzk3jJs5uc0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczMjgt/MTY4ODUxMDA5My05/NjE5LmpwZWc.jpeg
The Salsoul Orchestra,Magic Bird Of Fire,1977,7329,"1, 2, """,https://api.discogs.com/releases/7329,"{'community': {'in_wantlist': 276, 'in_collection': 616}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/hlxawLKM71OUzJIDyJsAg4VgGFcr_b0pzwgUDvtuYbI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczMjkt/MTUxODg4Mzc1Ni01/OTYwLmpwZWc.jpeg
Lemon,Freak On,1978,7471,"1, 2, "", ,,  , P, r, o, m, o, ,,  , Y, e, l",https://api.discogs.com/releases/7471,"{'community': {'in_wantlist': 72, 'in_collection': 137}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/AS4YDA8Ti7tqQT25IKKc5wmx-VnTfJ72iTGiEpUQypA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0NzEt/MTM2Mzg5MjUwMi0y/MjM5LmpwZWc.jpeg
Ripple,The Beat Goes On And On,1977,7473,"1, 2, "", ,,  , R, P",https://api.discogs.com/releases/7473,"{'community': {'in_wantlist': 429, 'in_collection': 259}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/GBwqZRuz-xuaHoGmAxNI4cXlq1grMFSKdUZFVkcYads/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0NzMt/MTE3NjI0MDcwMC5q/cGVn.jpeg
David Boydell,Wish It Were Me (Dub Dancing),1978,7474,"1, 2, "", ,,  , S, i, n, g, l, e, ,,  , P, r, o, m, o",https://api.discogs.com/releases/7474,"{'community': {'in_wantlist': 24, 'in_collection': 87}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/y4CnhQLFJolnPNUaasT04Xczss_wqz6gmNgBcKTBXlE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0NzQt/MTQzMTM2MjY3MC0z/MDIxLmpwZWc.jpeg
Aurra,Make Up Your Mind,1981,7475,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/7475,"{'community': {'in_wantlist': 371, 'in_collection': 763}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/yUSeKRJaq4zZIGfJfc4b89Hiy0L1vRamJhV7wX9c1rU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0NzUt/MTE4NTU0NzQ3NC5q/cGVn.jpeg
Skyy,Skyyzoo,1980,7477,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/7477,"{'community': {'in_wantlist': 246, 'in_collection': 538}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/9stznRtrktUYYgElLgV04Sxem9IeuOOsXSJKMSdfu9M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0Nzct/MTMxNjM3OTI2NS5q/cGVn.jpeg
Double Exposure,Ten Per Cent,1976,8786,"1, 2, "", ,,  , L, t, d",https://api.discogs.com/releases/8786,"{'community': {'in_wantlist': 676, 'in_collection': 1088}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/QsiR7IKdWJqLdSP9dD50eeT3vmuev6S-pZ6R4rVk-Hs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg3ODYt/MTE4MTMyMTE4My5q/cGVn.jpeg
